"lugar","tipo_danio","entrecalles","colonia","calle","numero","resumen","proceso","atrapados","lesionados","fallecidos","rescatados","institucionResponsableGobiernoCDMX","EntidadGubernamental","googlemaps","longitud","latitud","entidad","tiporeporte","actualizacion"
,"derrumbe","Irolo y Bretaña","zacahuitzco","Bretaña",23,,,0,0,1,,"GOBIERNO","SEDENA","https://www.google.com.mx/maps/place/19%C2%B022'21.4%22N+99%C2%B008'03.1%22W/@19.37262,-99.134187,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d19.37262!4d-99.134187",-99.134187,19.37262,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Lázaro Cárdenas y Av México","san gregorio atlapulco","sin informacion","sin informacion","Edificio 3 pisos 20 sep colapsa estructura","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","GOBIERNO","MARINA/SEDENA","https://www.google.com.mx/maps/search/19.253296,+-99.057865?sa=X&ved=0ahUKEwi6v5eThLTWAhVTxCYKHcIGD9YQ8gEIJjAA",-99.057865,19.253296,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Trancas y Acoxpa","villa coapa","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion",3,"sin informacion","sin informacion","sin informacion","https://www.google.com.mx/maps/search/19.292126,+-99.123339?sa=X&ved=0ahUKEwid66jAirTWAhUDySYKHRy6D0oQ8gEIJjAA",-99.123339,19.292126,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Av México y Sonora","roma norte","Sonora",149,"7 niveles","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","SECTRA","SEDENA","https://www.google.com.mx/maps/search/19.414590,+-99.169249?sa=X&ved=0ahUKEwiQ9p24hrTWAhUCLSYKHQ3kCwgQ8gEIJjAA",-99.169249,19.41459,"cdmx","proteccion civil","23-sept (14:00)"
"Tec de Monterrey","derrumbe","Del Puente y Ejido Huipulco","San Bartolo el Chico","Del Puente",222,"Tec de Monterrey, continua el retiro de escombros por la empresa ICA","sin informacion","sin informacion",3,5,"sin informacion","GOBIERNO","sin informacion","https://www.google.com.mx/maps/search/19.283398,+-99.135172?sa=X&ved=0ahUKEwjc0_GLh7TWAhUFSiYKHYtDAlYQ8gEIJjAA",-99.135172,19.283398,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Av 314 y Av 323","Nueva Atzacoalco","sin informacion","sin informacion","2 niveles","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","SSP","SEDENA","https://www.google.com.mx/maps/place/19%C2%B030'00.9%22N+99%C2%B004'59.0%22W/@19.500259,-99.083048,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d19.500259!4d-99.083048",-99.083048,19.500259,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Sabino y Diaz Mirón","Santa María la Rivera","sin informacion","sin informacion","1 nivel se derrumbó estructura","Conclusion de trabajos","sin informacion","sin informacion","sin informacion","sin informacion","SSP ","SEDENA","https://www.google.com.mx/maps/search/19.449258,+-99.159926?sa=X&ved=0ahUKEwjrlYrSiLTWAhXB5iYKHRyiCAoQ8gEIJjAA",-99.159926,19.449258,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Enrique Rebsamen y Morena","Narvarte","sin informacion","sin informacion","4 edificios y ina casa, en proceso de localización de persona","sin informacion","sin informacion",1,"sin informacion","sin informacion","SSP","MARINA/SEDENA","https://www.google.com.mx/maps/search/19.398364,+-99.158742?sa=X&ved=0ahUKEwicnbaRibTWAhUIRCYKHfiiA3MQ8gEIJjAA",-99.158742,19.398364,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Texcaltitla y Cacaloac","Santa Rosa Xochiac","sin informacion","sin informacion","sin informacion","Conclusión de trabajos","sin informacion","sin informacion","sin informacion","sin informacion","SSP","SEDENA","https://www.google.com.mx/maps/place/Cacaloac,+Santa+Rosa+Xochiac,+01830+Ciudad+de+M%C3%A9xico,+CDMX/@19.3186583,-99.294916,17z/data=!3m1!4b1!4m5!3m4!1s0x85cdf8bb2f16da4f:0x96788e7eefe9f817!8m2!3d19.3186583!4d-99.2927273",-99.294916,19.3186583,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Viaducto Miguel Aleman y Patricio Sanz","Del Valle","sin informacion","sin informacion","5 niveles","sin informacion","sin informacion","sin informacion",3,"sin informacion","sin informacion","SEDENA","https://www.google.com.mx/maps/place/Viad.+Pdte.+Miguel+Aleman,+Ciudad+de+M%C3%A9xico,+CDMX/@19.4001086,-99.1703483,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff6cce6ef501:0xe1fbf03171bfdc69!8m2!3d19.4001086!4d-99.1681596",-99.1703483,19.4001086,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Saratoga y Emiliano Zapata","Portales","Saratoga",714,"sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","GOBIERNO","MARINA/SEDENA","https://www.google.com.mx/maps/place/Gral.+Emiliano+Zapata,+Ciudad+de+M%C3%A9xico,+CDMX/@19.3657329,-99.1536758,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ffb69b7f3373:0x93bd94d2f1741b74!8m2!3d19.3657329!4d-99.1514871",-99.1536758,19.3657329,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Amsterdam y Cacahuamilpa","Condesa","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","SEMOVI","sin informacion","https://www.google.com.mx/maps/place/Calle+Amsterdam,+Hip%C3%B3dromo,+06100+Ciudad+de+M%C3%A9xico,+CDMX/@19.4156305,-99.1699056,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff389e319ce3:0x787e7271f2267c10!8m2!3d19.4156305!4d-99.1677169",-99.1699056,19.4156305,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Calzada de la Viga y Ermita Iztapalapa","Prado Churubusco","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","FINANZAS","SEDENA","https://www.google.com.mx/maps/place/Ermita+Iztapalapa,+Ciudad+de+M%C3%A9xico,+CDMX/@19.3576245,-99.1241323,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fe15de58b285:0x3f5468416886d81b!8m2!3d19.3576245!4d-99.1219436",-99.1241323,19.3576245,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Nueva Xochimilco y Tulyehualco ","Santa María Nativitas","sin informacion",191,"1 nivel","sin informacion","sin informacion","sin informacion",4,"sin informacion","GOBIERNO","MARINA/SEDENA","https://www.google.com.mx/maps/place/Nueva+Carretera+Xochimilco-tulyehualco,+Ciudad+de+M%C3%A9xico,+CDMX/@19.2484132,-99.1010661,17z/data=!3m1!4b1!4m13!1m7!3m6!1s0x85ce03fe4095bfc9:0xd7e72e029599d0d6!2sNueva+Carretera+Xochimilco-tulyehualco,+Ciudad+de+M%C3%A9xico,+CDMX!3b1!8m2!3d19.2484132!4d-99.0988774!3m4!1s0x85ce03fe4095bfc9:0xd7e72e029599d0d6!8m2!3d19.2484132!4d-99.0988774",-99.1010661,19.2484132,"cdmx","proteccion civil","23-sept (14:00)"
,"derrumbe","Alvaro Obregón y Huichapan","Roma Norte","sin informacion",284,"sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","SEMOVI","MARINA/SEDENA","https://www.google.com.mx/maps/place/Av.+%C3%81lvaro+Obreg%C3%B3n+284,+Hip%C3%B3dromo,+06100+Ciudad+de+M%C3%A9xico,+CDMX/@19.4163414,-99.1693905,18z/data=!4m8!1m2!2m1!1salvaro+obregon+284!3m4!1s0x85d1ff477a55dbc1:0x21698279bc8ab140!8m2!3d19.4163718!4d-99.1682962",-99.1693905,19.4163414,"cdmx","proteccion civil","23-sept (14:00)"
